ZN-E,PH-E,SS-E,SSV-E ,SED-E,COND-E,PH-P,PH-D,PH-S,SS-S,SSV-S,SED-S,COND-S,SAFE
2.22,7.7,218,62.4,5.4,1335,7.7,7.7,7.7,16,75.0,0.01,1379,1
2.50,7.8,264,66.7,7.5,1234,7.7,7.8,7.7,27,77.8,0.02,1247,1
1.50,7.5,324,67.9,7.0,1817,7.6,7.8,7.7,19,77.9,0.00,1819,1
1.00,7.6,286,58.0,6.5,1326,7.8,7.8,7.7,21,74.3,0.02,1361,1
0.72,7.8,190,57.9,5.5,1775,7.8,7.8,7.7,19,67.4,0.02,1605,1
0.73,7.8,222,62.2,4.5,1309,7.8,7.9,7.7,29,75.9,0.02,1523,1
0.85,7.6,198,66.7,5.5,1560,7.7,7.7,7.7,22,81.8,0.01,1635,1
0.45,7.8,164,82.9,4.5,1565,7.8,7.8,7.7,13,83.1,0.01,1560,1
0.47,7.6,188,61.7,2.5,1273,7.5,7.6,7.7,22,76.4,0.01,1371,1
0.40,7.8,366,51.9,6.5,1365,7.7,7.8,7.7,15,80.0,0.02,1374,1
0.88,7.6,274,55.5,5.5,1149,7.7,7.7,7.7,18,82.2,0.10,1180,1
0.70,7.6,194,63.9,5.5,1680,7.6,7.6,7.7,18,77.8,0.01,1840,1
1.60,7.7,136,70.1,1.5,1402,7.7,7.8,7.7,22,81.8,0.05,1468,1
3.00,7.4,194,61.9,3.0,1720,7.5,7.6,7.7,28,77.1,0.02,1772,1
0.23,7.6,234,37.6,1.4,829,7.6,7.6,7.7,18,77.8,0.01,929,1
0.36,7.5,140,71.4,?,962,7.6,7.6,7.7,26,76.9,?,968,1
0.30,7.4,180,64.4,3.0,1060,7.5,7.6,7.7,20,84.0,0.02,1136,1
0.30,7.3,258,65.1,4.0,1260,7.4,7.5,7.7,27,71.1,0.01,1326,1
3.00,8.0,192,66.7,4.5,2240,8.0,8.0,7.8,21,81.0,0.00,2290,0
1.40,7.9,228,64.9,4.6,1431,7.6,7.8,7.8,22,81.8,0.00,1475,0
1.20,7.8,164,58.5,2.3,1075,7.8,7.8,7.8,19,73.7,0.01,1246,0
1.00,7.9,1004,25.5,24,1218,7.8,7.7,7.8,21,81.0,0.05,1172,0
1.40,7.9,562,27.4,7.5,1866,7.9,7.9,7.8,11,61.8,0.02,1800,0
1.50,7.7,216,52.8,3.0,1282,7.8,7.7,7.8,32,71.3,0.02,1295,0
8.00,7.9,300,57.3,7.0,1395,7.9,7.9,7.8,12,91.7,0.02,1423,0
1.20,7.8,232,65.5,5.0,1262,7.8,7.9,7.8,12,75.0,0.00,1234,0
0.60,8.1,448,38.4,5.0,1229,7.8,7.8,7.8,25,90.7,0.05,1021,0
1.50,8.1,180,54.4,2.5,1615,8.0,7.9,7.8,36,74.1,0.02,1345,0
2.50,8.0,288,59.7,7.5,1272,7.9,7.9,7.8,19,78.9,0.00,1437,0
2.00,7.7,184,57.6,4.0,1226,7.7,7.8,7.8,13,69.2,0.00,1136,0
3.00,7.8,292,32.9,3.0,1140,7.8,7.9,7.8,14,77.1,0.00,1276,0
1.75,7.9,180,53.5,3.5,1362,7.9,7.6,7.8,22,86.4,0.00,1555,0
0.80,8.1,184,63.0,3.0,1450,8.0,8.1,7.8,22,76.4,0.02,1357,0
0.70,7.7,120,60.0,3.0,1068,7.8,7.8,7.8,?,?,0.02,1199,0
0.80,7.7,176,61.4,4.0,2200,7.7,7.7,7.8,16,68.8,0.00,2140,0
12.5,7.8,268,44.8,4.5,1570,7.9,7.9,7.8,26,76.9,0.00,1720,0
2.50,7.7,248,58.1,5.5,1330,7.7,7.8,7.8,26,76.9,0.00,1416,0
1.75,7.6,282,63.8,5.3,1444,7.6,7.8,7.8,15,75.3,0.00,1433,0
1.00,7.7,182,?,3.0,1189,7.7,7.7,7.8,20,76.0,0.00,1378,0
1.00,7.7,236,59.3,3.2,2100,7.6,7.7,7.8,49,67.3,0.05,2070,0
1.50,7.6,320,46.3,4.5,1160,7.7,7.7,7.8,28,75.0,0.10,1148,0
6.50,7.8,472,?,6.5,2230,7.8,7.8,7.8,12,?,0.02,1910,0
1.30,7.6,226,51.3,5.5,1324,7.6,7.7,7.8,13,70.8,0.00,1418,0
2.50,7.9,264,61.4,6.5,2750,7.9,7.8,7.8,9,62.2,0.00,2500,0
3.30,7.8,500,27.2,4.2,3230,7.8,7.7,7.8,12,75.0,0.00,3950,0
1.00,7.5,178,57.3,4.0,1620,7.6,7.7,7.8,12,86.7,0.02,1590,0
0.90,7.8,166,?,2.5,1680,7.8,7.8,7.8,14,?,0.02,1672,0
2.00,8.1,214,69.2,5.5,1919,8.2,8.1,7.8,22,81.8,0.00,1690,0
1.70,8.1,188,74.5,4.7,1803,8.1,8.1,7.8,23,87.0,0.00,1932,0
5.90,8.4,190,69.5,?,1380,8.3,8.1,7.8,13,76.9,?,1379,0
5.90,8.2,196,77.6,4.5,2090,8.2,8.1,7.8,19,89.5,0.01,2210,0
1.20,8.2,152,73.7,4.3,1552,8.2,8.2,7.8,14,94.3,0.00,1679,0
18.2,8.1,196,65.3,7.0,2230,8.1,8.2,7.8,20,85.0,0.00,2320,0
1.50,8.3,184,84.8,4.5,1337,8.3,8.3,7.8,19,90.5,0.00,1605,0
1.50,8.1,308,76.6,5.8,1653,8.1,8.1,7.8,16,92.5,0.05,1880,0
0.50,8.1,178,76.4,5.0,1325,8.0,7.9,7.8,17,85.3,0.01,1276,0
0.53,7.9,194,78.4,6.0,1200,7.9,8.0,7.8,14,94.3,0.01,1399,0
5.20,8.0,134,61.2,2.5,1007,8.0,8.0,7.8,11,76.4,0.01,1117,0
1.80,8.1,186,57.0,4.0,1006,8.0,7.9,7.8,11,87.3,0.02,1038,0
1.51,8.2,270,53.3,4.5,1566,8.2,8.2,7.8,21,64.8,0.01,1409,0
2.50,8.0,154,68.8,3.0,1672,8.1,8.0,7.8,17,77.6,0.01,1683,0
1.70,8.3,184,69.6,4.0,1944,8.3,8.1,7.8,17,75.3,0.05,1824,0
4.50,8.2,144,61.1,1.5,1665,8.3,8.0,7.8,10,90.0,0.01,1698,0
0.43,8.0,136,66.2,2.5,2050,8.1,8.2,7.8,20,85.0,0.01,1854,0
0.14,8.2,166,63.9,3.5,1782,8.0,8.0,7.8,23,66.1,0.05,1833,0
3.45,8.2,178,70.8,4.5,2210,8.3,8.2,7.8,28,75.7,0.03,1914,0
2.21,8.1,142,73.2,3.0,1681,8.1,8.0,7.8,14,82.9,0.01,1705,0
0.60,8.1,200,78.0,4.5,2280,8.2,8.0,7.8,13,89.2,0.00,2230,0
2.10,8.1,244,75.4,8.5,2480,8.0,8.0,7.8,18,83.3,0.00,2590,0
5.80,7.7,236,57.6,4.5,1447,7.6,7.7,7.8,14,71.4,0.02,1408,0
2.70,7.9,168,50.0,2.0,1906,7.8,7.8,7.8,16,77.5,0.05,1425,0
4.80,8.0,282,45.4,6.5,850,8.0,7.9,7.8,10,72.0,0.02,882,0
3.70,8.1,156,52.6,2.5,1082,7.9,8.0,7.8,13,83.1,0.02,1079,0
1.60,7.8,134,68.7,2.5,967,7.8,7.8,7.8,28,75.7,0.10,1105,0
5.97,8.1,128,67.2,2.0,1465,8.1,7.9,7.8,24,73.3,0.02,1566,0
1.00,8.2,180,64.4,3.5,1567,8.2,8.1,7.8,22,68.2,0.01,1463,0
2.20,7.9,146,79.5,4.5,1949,7.9,7.9,7.8,21,93.3,0.02,2130,0
2.50,7.8,148,73.0,4.5,1551,7.9,7.9,7.8,14,97.2,0.02,1439,0
3.80,8.1,176,68.2,4.5,2080,8.0,7.9,7.8,16,87.5,0.00,2290,0
4.70,8.0,248,67.7,7.0,1370,8.1,8.1,7.8,13,86.2,0.00,1406,0
2.10,7.9,234,71.8,5.5,2370,7.9,7.9,7.8,18,88.9,0.00,2300,0
2.50,7.8,184,69.6,4.0,1553,7.9,7.9,7.8,22,90.9,0.01,1665,0
1.00,7.9,186,64.5,7.5,2510,8.0,8.0,7.8,20,80.0,0.02,2420,0
3.28,7.9,160,67.5,3.1,1433,7.9,7.9,7.8,18,79.8,0.00,1459,0
2.57,8.0,184,72.8,4.5,2240,8.0,8.0,7.8,14,92.9,0.00,1860,0
10,8.1,350,59.4,0.7,1512,8.1,8.1,7.8,20,90.0,0.10,1565,0
10.7,8.1,264,71.2,6.3,1606,8.2,8.1,7.8,21,85.7,0.05,1455,0
5.30,8.2,312,71.8,7.5,1823,8.2,8.2,7.8,22,90.9,0.02,1850,0
6.25,8.1,156,79.5,4.0,1513,8.2,8.1,7.8,22,90.9,0.01,1682,0
6.20,8.1,252,68.3,6.5,1734,8.2,8.2,7.8,25,96.0,0.07,1821,0
7.60,7.9,212,75.5,5.0,1145,7.9,8.1,7.8,14,88.6,0.00,1249,0
2.50,8.0,228,71.9,7.5,1684,8.0,8.0,7.8,22,87.3,0.02,1740,0
2.00,8.3,212,78.3,4.5,2070,8.3,8.2,7.8,22,?,0.02,2230,0
1.20,8.2,172,73.3,3.0,1658,8.2,8.1,7.8,15,90.0,0.01,1491,0
3.50,8.1,162,76.5,4.0,1854,8.1,8.1,7.8,15,83.3,0.00,1734,0
0.50,7.9,126,74.6,2.5,1113,8.1,8.0,7.8,13,65.4,0.02,1142,0
0.80,8.3,158,70.9,5.0,1178,8.2,8.1,7.8,13,73.1,0.02,1114,0
1.67,7.9,168,77.4,3.5,1353,8.1,8.1,7.8,15,90.0,0.01,1268,0
0.50,8.0,154,74.0,4.5,1260,8.1,8.0,7.8,19,84.2,0.01,1443,0
0.35,8.3,120,71.7,2.5,1385,8.2,8.1,7.8,11,90.9,0.01,1355,0
0.65,7.9,126,66.7,2.5,2450,8.1,8.2,7.8,28,78.6,0.05,2740,0
1.00,8.2,166,72.3,5.5,1343,8.3,8.2,7.8,13,39.2,0.00,1311,0
1.00,8.2,144,72.2,5.0,1233,8.3,8.1,7.8,10,70.0,0.01,1297,0
2.60,8.1,208,69.2,6.5,1474,8.2,8.1,7.8,12,83.3,0.02,1466,0
2.50,8.3,216,71.3,7.5,1663,8.4,8.2,7.8,13,92.9,0.02,1848,0
3.10,7.9,184,69.6,4.5,1912,8.0,8.0,7.8,16,81.3,0.02,1888,0
4.40,7.9,292,57.5,7.5,1268,8.0,7.9,7.8,16,87.5,0.05,1234,0
3.90,7.9,286,54.5,6.5,1174,7.9,7.9,7.8,14,85.7,0.01,1167,0
0.77,7.8,224,67.9,5.5,1300,7.9,7.9,7.8,23,81.2,0.00,1251,0
0.60,7.8,212,70.8,5.5,1338,7.9,7.9,7.8,13,92.3,0.00,1364,0
0.40,7.9,198,70.7,5.0,1479,7.9,7.9,7.8,22,63.6,0.00,1233,0
0.82,7.8,218,66.9,5.5,1842,8.0,7.9,7.8,22,79.5,0.05,1843,0
2.85,7.7,224,66.1,4.5,1475,7.8,7.9,7.8,14,85.7,0.02,1654,0
2.90,7.7,616,59.7,14,1285,7.8,7.9,7.8,20,96.7,0.00,1433,0
1.10,7.6,208,57.7,4.3,1593,7.7,7.7,7.8,22,83.6,0.00,1602,0
0.70,7.6,242,61.2,4.0,1315,7.7,7.7,7.8,104,86.5,0.00,1434,0
1.14,7.8,228,64.0,4.3,1224,7.9,7.9,7.8,16,75.0,0.01,1268,0
1.20,7.7,200,62.0,4.5,1396,7.9,7.9,7.8,16,77.5,0.02,1441,0
1.94,7.7,178,65.2,4.5,1668,7.7,7.8,7.8,22,77.3,0.00,1883,0
2.40,7.6,170,71.8,4.0,1704,7.7,7.7,7.8,10,100,0.01,1817,0
0.54,7.6,194,58.8,2.5,985,7.6,7.7,7.8,20,88.0,0.01,1124,0
1.44,7.5,230,47.0,3.5,1395,7.7,7.8,7.8,17,84.7,0.01,1068,0
1.40,7.6,182,64.8,4.5,1198,7.7,7.8,7.8,15,72.0,0.01,1248,0
1.10,7.3,?,85.0,3.3,1258,7.6,7.7,7.8,?,?,0.01,1165,0
0.50,7.8,240,49.2,4.5,1344,7.7,7.7,7.8,23,81.7,0.02,1144,0
0.27,7.9,226,64.6,5.4,1219,7.9,7.9,7.8,18,83.3,0.02,1105,0
0.17,7.8,310,47.7,6.5,875,7.8,7.8,7.8,19,77.9,0.03,976,0
0.25,8.1,256,56.3,7.5,2210,7.9,7.9,7.8,21,80.0,0.02,1539,0
0.14,7.7,262,60.3,4.5,1700,7.7,7.8,7.8,24,87.5,0.08,1631,0
0.12,7.8,202,63.4,4.7,1473,7.8,7.7,7.8,22,81.8,0.02,1504,0
0.40,7.8,142,71.8,3.0,1494,7.8,7.8,7.8,19,80.0,0.10,1680,0
1.20,7.9,184,73.9,6.5,1384,7.8,7.8,7.8,15,93.3,0.10,1463,0
1.60,7.9,204,64.7,6.0,1798,7.9,7.9,7.8,21,85.7,0.05,1568,0
2.60,7.5,172,66.3,3.0,1520,7.5,7.6,7.8,20,86.0,0.02,1549,0
0.20,7.6,186,71.0,5.0,1114,7.6,7.6,7.8,21,91.4,0.02,1100,0
0.40,7.6,186,67.7,3.0,899,7.6,7.6,7.8,23,76.5,0.02,898,0
0.20,7.7,144,70.8,3.0,940,7.6,7.6,7.8,14,82.9,0.02,947,0
0.62,7.5,154,66.2,1.7,890,7.5,7.7,7.8,13,84.6,0.02,858,0
2.00,7.7,144,72.2,2.0,1031,7.6,7.6,7.8,16,82.5,0.01,1053,0
1.00,7.6,168,69.0,3.5,1240,7.8,7.8,7.9,20,85.0,0.00,1416,0
2.00,7.3,192,62.5,5.5,1320,7.8,7.6,7.9,19,78.9,0.01,1054,0
1.00,7.9,252,61.9,4.7,1512,7.8,7.8,7.9,23,78.3,0.01,1409,0
2.00,8.0,362,35.9,5.0,1093,7.7,7.9,7.9,14,74.3,0.02,1008,0
3.00,7.8,172,69.8,3.5,1454,7.8,7.8,7.9,20,80.0,0.00,1230,0
0.80,7.7,164,61.0,3.0,1623,7.8,7.8,7.9,15,66.7,0.00,1491,0
1.20,8.4,208,57.7,3.3,1160,8.0,8.0,7.9,20,80.0,0.00,1333,0
1.00,8.1,162,56.8,2.3,1050,8.1,8.0,7.9,40,82.5,0.05,1187,0
3.50,7.6,476,27.7,4.5,1603,7.8,7.8,7.9,16,68.8,0.00,1625,0
0.90,7.7,156,53.8,3.5,1358,7.8,7.9,7.9,14,50.0,0.00,1425,0
2.50,7.7,222,46.8,3.5,1087,7.7,7.8,7.9,18,68.9,0.00,1169,0
1.00,7.7,352,52.8,8.0,2540,7.7,7.7,7.9,15,93.3,0.00,2580,0
1.20,7.8,376,56.4,6.0,1683,7.8,7.9,7.9,34,79.4,0.02,1742,0
4.50,7.6,224,51.8,4.5,1463,7.7,7.7,7.9,21,66.7,0.05,2610,0
2.00,7.7,692,29.5,8.0,1589,7.7,7.7,7.9,52,29.2,0.00,1625,0
0.80,7.7,120,?,1.8,1550,7.9,7.8,7.9,74,?,0.20,1661,0
5.00,7.8,256,53.1,5.5,2040,7.8,7.9,7.9,8,57.5,0.02,1690,0
1.14,7.8,244,55.7,5.0,1453,7.8,7.8,7.9,15,74.7,0.00,1458,0
3.40,7.8,304,53.3,6.5,1454,7.8,7.8,7.9,14,74.3,0.02,1324,0
5.35,7.7,260,37.7,4.0,1236,7.8,7.8,7.9,14,82.9,0.00,1611,0
2.20,7.9,188,56.4,4.0,1200,7.9,7.9,7.9,10,92.0,0.00,1084,0
?,7.7,286,51.0,4.5,1180,7.7,7.7,7.9,10,78.0,0.00,1222,0
1.95,7.8,166,67.5,2.0,950,7.8,7.8,7.9,20,80.0,0.02,1093,0
1.00,7.8,132,43.9,1.5,828,7.8,7.9,7.9,39,66.7,0.05,891,0
0.70,7.8,208,20.2,0.8,715,7.8,7.8,7.9,12,73.3,0.00,831,0
0.80,7.6,194,57.7,2.5,997,7.6,7.7,7.9,11,69.1,0.02,990,0
0.30,7.7,130,64.6,2.0,1135,7.7,7.8,7.9,16,67.5,0.02,1143,0
0.50,7.9,296,?,?,1315,7.7,7.8,7.9,33,?,?,1525,0
0.60,7.9,110,?,1.5,1342,7.8,7.8,7.9,23,?,0.00,1375,0
1.50,7.8,290,?,4.5,1818,7.8,7.8,7.9,10,?,0.02,1723,0
1.09,8.7,232,68.1,5.5,1620,8.4,8.4,7.9,17,82.4,0.01,1359,0
0.40,7.9,162,76.5,3.5,1443,8.0,8.2,7.9,12,90.0,0.01,1689,0
1.58,7.8,128,62.5,1.5,1444,7.9,7.9,7.9,9,84.4,0.01,1431,0
2.30,8.1,118,55.9,2.5,1820,8.0,8.1,7.9,12,76.7,0.01,1810,0
0.48,8.5,152,65.8,3.3,1770,8.4,8.2,7.9,30,82.7,0.01,2240,0
7.90,8.1,214,67.3,6.0,1586,8.1,8.0,7.9,32,78.1,0.01,1839,0
2.24,8.4,188,70.2,4.0,2790,8.2,8.0,7.9,19,78.9,0.00,2520,0
3.40,7.7,170,61.2,2.5,1065,7.8,7.8,7.9,20,80.0,0.02,993,0
3.60,7.9,512,33.6,6.0,915,7.9,7.9,7.9,16,80.0,0.00,1021,0
1.25,8.0,126,68.3,2.5,1940,8.1,7.8,7.9,17,72.9,0.02,1891,0
3.50,8.2,208,51.0,5.0,1015,8.2,8.1,7.9,17,58.8,0.02,967,0
2.50,8.3,172,55.8,3.5,1983,8.3,8.1,7.9,20,84.0,0.02,1880,0
6.00,8.2,156,60.3,4.0,1987,8.3,8.2,7.9,11,80.0,0.03,2040,0
2.50,8.1,880,13.2,5.5,1745,7.9,8.0,7.9,13,76.9,0.01,1495,0
3.30,7.9,334,33.5,3.5,1760,8.0,8.0,7.9,18,57.8,0.02,1595,0
1.41,8.1,194,55.7,2.7,1970,8.1,8.0,7.9,22,59.1,0.02,2190,0
0.50,8.0,196,60.2,4.0,1557,8.0,8.0,7.9,26,60.0,0.01,1639,0
0.80,8.1,134,76.1,2.5,1341,8.1,8.1,7.9,17,85.3,0.01,1394,0
2.60,8.2,256,67.2,7.0,1380,8.3,8.2,7.9,11,80.0,0.00,1167,0
0.96,8.1,202,84.2,6.0,1380,8.0,8.2,7.9,17,94.1,0.01,1417,0
3.20,7.9,284,62.7,7.5,1425,8.0,7.9,7.9,19,84.2,0.02,1391,0
0.76,8.1,176,75.0,5.5,1530,8.2,8.1,7.9,19,77.6,0.00,1566,0
4.50,7.8,204,55.9,3.5,1615,7.9,7.9,7.9,13,86.2,0.01,1534,0
0.25,8.0,268,57.5,5.7,1306,7.9,7.9,7.9,18,77.8,0.02,1241,0
1.59,7.8,252,65.1,4.5,2110,7.8,7.9,7.9,24,70.8,0.20,2080,0
?,7.7,216,66.7,4.5,1542,7.8,7.8,7.9,18,88.9,0.05,1365,0
3.30,7.7,184,62.0,3.5,1445,7.7,7.6,7.9,15,70.7,0.15,1337,0
0.50,7.6,506,44.3,7.5,866,7.5,7.6,7.9,20,78.0,0.02,884,0
0.20,7.6,178,60.7,3.5,1049,7.7,7.7,7.9,30,64.0,0.05,828,0
0.10,7.6,146,68.5,1.6,1096,7.6,7.7,7.9,16,70.0,0.01,1083,0
0.47,7.6,148,64.9,2.0,939,7.7,7.8,7.9,13,83.1,0.01,1012,0
0.20,7.5,124,82.3,2.5,1044,7.6,7.7,7.9,12,90.0,0.00,1038,0
0.13,7.6,128,71.9,1.8,992,7.6,7.7,7.9,14,82.9,0.00,1044,0
0.16,7.7,176,56.8,2.3,894,7.7,7.7,7.9,6,100,0.01,942,0
0.32,7.8,172,68.6,4.0,988,7.8,7.7,7.9,16,90.0,0.00,950,0
0.60,7.8,292,58.9,6.5,1109,7.8,7.8,8.0,20,70.0,0.05,1238,0
7.00,7.7,1016,31.5,22,1478,7.8,7.9,8.0,15,73.3,0.00,1378,0
0.70,7.9,192,62.5,4.5,1339,7.8,7.8,8.0,15,66.7,0.00,1344,0
2.00,7.9,456,48.2,11,1147,7.9,8.0,8.0,17,82.4,0.00,1217,0
0.75,8.1,216,55.6,6.5,2440,8.0,7.9,8.0,21,70.5,0.00,2190,0
1.00,7.9,264,55.3,4.0,2270,7.8,8.0,8.0,21,78.1,0.00,1848,0
2.50,7.9,272,43.4,3.5,1704,7.9,7.9,8.0,18,53.3,0.00,1788,0
2.00,7.7,380,53.7,6.0,2160,7.8,7.9,8.0,26,72.3,0.00,2270,0
1.20,7.8,364,45.6,5.5,2220,8.0,7.9,8.0,23,78.3,0.05,2350,0
0.35,8.0,364,20.3,1.6,1403,8.1,8.0,8.0,12,76.7,0.00,1433,0
2.50,7.7,242,25.6,1.4,1400,7.9,7.8,8.0,12,83.3,0.00,1407,0
2.00,8.1,138,39.1,1.4,882,8.1,8.2,8.0,9,88.9,0.00,902,0
1.20,7.8,112,48.2,1.3,1031,7.9,7.9,8.0,16,62.5,0.00,1056,0
2.00,7.8,248,30.6,2.5,910,7.9,7.9,8.0,9,93.3,0.00,919,0
0.80,7.8,234,37.6,2.5,993,7.8,7.8,8.0,10,76.0,0.00,985,0
1.90,7.9,210,69.5,6.5,1835,8.2,8.2,8.0,22,72.7,0.01,1820,0
0.80,7.9,210,47.6,2.5,848,7.9,8.0,8.0,12,58.3,0.02,898,0
1.50,8.4,172,60.5,3.5,1631,8.3,8.2,8.0,18,77.8,0.01,1635,0
3.50,7.9,518,17.8,4.0,1048,7.9,8.0,8.0,20,54.0,0.01,1171,0
2.00,8.0,194,50.5,3.2,1885,8.0,7.9,8.0,16,62.5,0.02,2030,0
1.56,8.4,218,75.2,5.0,1645,8.5,8.3,8.0,13,92.3,0.01,1658,0
2.60,8.1,170,70.6,5.0,1652,8.2,8.2,8.0,20,85.0,0.02,1800,0
33.5,7.5,368,51.1,6.3,1355,7.6,7.9,8.0,?,?,?,1240,0
0.45,7.9,196,64.3,2.5,948,7.8,7.9,8.0,22,85.5,0.00,951,0
1.25,7.7,168,54.8,3.5,1814,7.9,8.1,8.1,15,73.3,0.00,1879,0
0.30,8.1,172,40.7,2.0,1350,8.0,7.9,8.1,14,80.0,0.00,1400,0
0.80,8.0,160,67.5,2.5,1096,7.9,7.9,8.1,15,66.7,0.00,1061,0
2.00,8.1,268,47.8,3.5,1732,8.0,8.0,8.2,17,77.6,0.00,1643,0
0.70,8.1,144,?,1.3,1581,8.3,8.3,8.3,13,?,0.00,1720,0
1.99,8.0,208,74.0,5.3,1585,8.0,7.9,9.7,17,88.2,0.02,1708,0
1.50,8.3,212,69.8,5.7,2270,8.3,8.1,?,?,?,?,?,0
